state,phd_m,phd_f,phd_total,mphil_m,mphil_f,mphil_total,pg_m,pg_f,pg_total,ug_m,ug_f,ug_total,pg_diploma_m,pg_diploma_f,pg_diploma_total,diploma_m,diploma_f,diploma_total,certificate_m,certificate_f,certificate_total,integrated_m,integrated_f,integrated_total,grand_total_m,grand_total_f,grand_total_total
Jharkhand,2039,1113,3152,14,66,80,48894,63574,112468,362777,347379,710156,2051,1087,3138,31177,14953,46130,906,440,1346,2248,1247,3495,450106,429859,879965
Karnataka,6045,5148,11193,44,183,227,118528,142088,260616,982974,923326,1906300,4862,3664,8526,134943,94970,229913,1847,1196,3043,8761,7961,16722,1258004,1178536,2436540
Kerala,3387,5747,9134,75,281,356,50946,121630,172576,439560,576826,1016386,1284,1836,3120,53625,35512,89137,580,1032,1612,5115,7009,12124,554572,749873,1304445
Ladakh,15,3,18,,,,155,318,473,1187,2103,3290,,,,195,314,509,19,131,150,,,,1571,2869,4440
Lakshadweep,,,,,,,,,,14,74,88,,,,,,,,,,,,,14,74,88
Madhya Pradesh,4283,3571,7854,,16,16,201345,239046,440391,1143205,953119,2096324,21509,20506,42015,114323,61488,175811,1563,858,2421,19680,15653,35333,1505908,1294257,2800165
Maharashtra,10115,7717,17832,121,69,190,283304,303894,587198,1968964,1529764,3498728,25594,21182,46776,236517,157882,394399,7580,4905,12485,10636,9599,20235,2542831,2035012,4577843
Manipur,725,723,1448,,6,6,4940,5528,10468,58171,54386,112557,555,419,974,1682,2967,4649,161,125,286,,,,66234,64154,130388
Meghalaya,458,331,789,1,2,3,5673,8432,14105,35954,41489,77443,280,363,643,988,2013,3001,31,55,86,203,180,383,43588,52865,96453
Mizoram,634,565,1199,,,,2398,3210,5608,16905,16249,33154,39,16,55,3200,3530,6730,,,,15,10,25,23191,23580,46771
Nagaland,290,330,620,12,6,18,3276,5178,8454,18770,20444,39214,40,89,129,859,1343,2202,310,276,586,,,,23557,27666,51223
Odisha,2668,1550,4218,269,303,572,63227,56471,119698,402899,379256,782155,1920,1165,3085,103764,47170,150934,651,899,1550,5769,5898,11667,581167,492712,1073879
Puducherry,325,278,603,,,,13198,13394,26592,28264,33817,62081,29,25,54,2438,1357,3795,11,8,19,556,943,1499,44821,49822,94643
Punjab,4946,5379,10325,28,41,69,46929,63149,110078,321099,292462,613561,2631,3183,5814,48756,47416,96172,748,952,1700,9479,11546,21025,434616,424128,858744
Rajasthan,6913,6915,13828,145,161,306,140674,169589,310263,1124079,978715,2102794,5357,3332,8689,86322,37439,123761,1869,1868,3737,64924,61038,125962,1430283,1259057,2689340
Sikkim,337,315,652,18,25,43,2421,3565,5986,12268,12538,24806,18,11,29,994,777,1771,50,5,55,168,251,419,16274,17487,33761
Tamil Nadu,13457,15410,28867,925,3116,4041,198013,266073,464086,1243667,1248155,2491822,8126,6603,14729,213546,49168,262714,7290,9324,16614,13088,13366,26454,1698112,1611215,3309327
Telangana,4442,2525,6967,57,43,100,89767,117315,207082,638370,633953,1272323,4386,3529,7915,50261,41291,91552,1532,1590,3122,4538,3081,7619,793353,803327,1596680
Tripura,286,173,459,2,10,12,5209,5840,11049,44432,37731,82163,76,59,135,2409,2297,4706,18,18,36,1106,885,1991,53538,47013,100551
Uttar Pradesh,11988,9725,21713,15,62,77,348726,411389,760115,3033329,2745769,5779098,17801,9432,27233,217394,103605,320999,3435,2854,6289,36630,21270,57900,3669318,3304106,6973424
Uttarakhand,2573,1900,4473,5,,5,41134,53023,94157,217701,216121,433822,560,419,979,20403,7638,28041,218,64,282,3555,2390,5945,286149,281555,567704
West Bengal,8683,5103,13786,688,614,1302,126244,177120,303364,1106488,1080500,2186988,3130,2013,5143,117513,72433,189946,3291,2115,5406,9590,6626,16216,1375627,1346524,2722151
All India,113932,98636,212568,3393,6127,9520,2325040,2892713,5217753,17854294,16284939,34139233,130028,104755,234783,1860546,1055899,2916445,40558,36742,77300,248598,211981,460579,22576389,20691792,43268181
